#Name	Passed Description
ACER2	Alkaline ceramidase 1
ank2	Ankyrin-2
ANKEF1	Ankyrin repeat and EF-hand protein
ANKRD29	Ankyrin repeat domain-containing protein 29
ANKRD49	Ankyrin repeat domain-containing protein 49
ANKRD66	Ankyrin repeat domain-containing protein 66
ANKS1A	Ankyrin repeat and sterile alpha motif domain-containing protein  1A
APF5	Cytochrome P450 monooxygenase apf5
asb16	Ankyrin repeat and SOCS box protein 16
bath-44	BTB and MATH domain-containing protiein 44
blaA2	Beta-lactamase
BOT4	Cytochrome P450 monooxygenase BOT4
CCR2	Male sterility protein
CDKN2B	Cyclin-dependent kinase inhibitor 2B
cec-3	Methylated histone binding protein
CIPK2	Non-specific serine/threonine protein kinase
clec-78	Calcium ion binding protein
CPT1B	Belongs to the carnitine choline acetyltransferase protein family
CRACR2A	Calcium release-activated channel regulator protein
crispld1	SCP/Tpx-1/Ag5/PR-1/Sc7 extracellular domain protein
dhs-24	Oxidation-reduction process protein
dnaK4	MreB/Mbl protein
Dsp1	DNA binding protein
echA5	Enoyl-CoA hydratase/isomerase
eif5a	Functions by promoting the formation of the first peptide bond
ELA1	Transcription elongation from RNA polymerase II promoter protein
FBXO17	F-box associated region protein
FFSC4	Terpene cyclase 4
FGAQP3	Probable aquaporin-3
FGAQP5	Probable aquaporin-5
FGL4	Secreted lipase 4
FPY4	FAD-dependent monooxygenase FPY4
gatA1	Asp-tRNAAsn Glu-tRNAGln amidotransferase A subunit and amidases
gst8	Glutathione S-transferase
gstch10	Glutathione S-transferase
gstch1	Glutathione S-transferase
GTF2A2	Transcription initiation from RNA polymerase II promoter protein
GZF1	Heteroproteinous nuclear ribonucleoprotein A0-like protein
H3F3C	Histone H3 protein
HIST1H3B	Protein with heterodimerization activity
HMGN5	Embryonic skeletal system development protein
LGALS3	Negative regulation of cell proliferation in bone marrow protein
mel-26	Ubiquitin protein ligase binding protein
met1	Belongs to the class I-like SAM-binding methyltransferase superfamily
MFSD9	Major facilitator superfamily domain-containing protein 9
MMP10	Stromelysin-2 protein
murA2	Cell wall formation protein
Myo16	Histone-lysine N-methyltransferase protein
NCEH1	Arylacetamide deacetylase-like protein
NCOA5	Structural constituent of nuclear pore protein
NOTCH1	Calcium ion binding protein involved in negative regulation of growth rate
Oxct2	Key enzyme for ketone body catabolism
PEL9	Pectate lyase PEL9
plb1	Lysophospholipase protein
PRDM14	SET domain protein
PREU5	Highly reducing polyketide synthase Preu5
prmt-3	Protein-arginine omega-N asymmetric methyltransferase activity
RAC1C	Rho-related protein RAC1C
RDC1	Non-reducing polyketide synthase RDC1
RDC2	Flavin-dependent halogenase RDC2
RDC3	Efflux pump RDC3
RDC4	Cytochrome P450 monooxygenase RDC4
RDC5	Reducing polyketide synthase RDC5
roco5	Pleckstrin y domain protein
SAP6	Peptidase A1 protein
SAP8	Peptidase A1 protein
SAT17	Taurine hydroxylase-like protein SAT17
SIR5	NAD-dependent protein deacylase SIR5
STC3	(+)-eremophilene synthase protein
svep1	Sushi, von Willebrand factor type A, EGF, and pentraxin protein
Tango10	BTB and C-terminal Kelch protein
TATC6	Terpene cyclase 6
tif2Ba	Belongs to the eIF-2B alpha beta delta subunits protein family
USH2A	Cell adhesion protein
VIP2	Nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay protein
XIRP1	Heart development protein
Y14A	RNA-binding protein Y14A
YPS7	Aspartic-type endopeptidase activity protein
ZBTB47	Zinc-finger of C2H2 type protein
ZKSCAN7	Zinc-finger associated domain protein
VWA7	Von Willebrand factor A domain-containing protein 7
Cht3	Chitinase 3 protein
MX1	Interferon-induced GTP-binding protein Mx1
	
